"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.216468746E-1,5.356663214E-1,2.671294094E-1,2.909679000E-3,1.600000024E0,8.000000000E2
2.258077496E-1,5.248302907E-1,2.550632671E-1,2.908775000E-3,1.600000024E0,8.000000000E2
2.299685826E-1,5.393186888E-1,2.714004770E-1,2.907345000E-3,1.600000024E0,8.000000000E2
2.341294166E-1,5.335543363E-1,2.649482545E-1,2.906125000E-3,1.600000024E0,8.000000000E2
2.382902496E-1,5.352354966E-1,2.671515613E-1,2.904845000E-3,1.600000024E0,8.000000000E2
2.424510827E-1,5.340818085E-1,2.656185912E-1,2.903607000E-3,1.600000024E0,8.000000000E2
2.466121666E-1,5.270976243E-1,2.581592578E-1,2.902623000E-3,1.600000024E0,8.000000000E2
2.507728326E-1,5.386122828E-1,2.712698601E-1,2.901222000E-3,1.600000024E0,8.000000000E2
2.549336666E-1,5.338043929E-1,2.656670356E-1,2.899996000E-3,1.600000024E0,8.000000000E2
2.590945826E-1,5.367950616E-1,2.694855432E-1,2.898662000E-3,1.600000024E0,8.000000000E2
2.632553747E-1,5.297260751E-1,2.616290393E-1,2.897584000E-3,1.600000024E0,8.000000000E2
2.674162076E-1,5.249590140E-1,2.563490214E-1,2.896679000E-3,1.600000024E0,8.000000000E2
2.715771246E-1,5.320243316E-1,2.643355347E-1,2.895519000E-3,1.600000024E0,8.000000000E2
2.757378326E-1,5.237707341E-1,2.552368673E-1,2.894658000E-3,1.600000024E0,8.000000000E2
2.798988746E-1,5.382119616E-1,2.716118254E-1,2.893275000E-3,1.600000024E0,8.000000000E2
2.840595826E-1,5.320338182E-1,2.646452768E-1,2.892116000E-3,1.600000024E0,8.000000000E2
2.882203746E-1,5.334542298E-1,2.665059334E-1,2.890906000E-3,1.600000024E0,8.000000000E2
2.923812076E-1,5.277890929E-1,2.601398560E-1,2.889901000E-3,1.600000024E0,8.000000000E2
2.965421246E-1,5.207035443E-1,2.524431296E-1,2.889153000E-3,1.600000024E0,8.000000000E2
3.007029576E-1,5.314233782E-1,2.646780478E-1,2.888018000E-3,1.600000024E0,8.000000000E2
3.048637497E-1,5.269614061E-1,2.595510697E-1,2.887044000E-3,1.600000024E0,8.000000000E2
3.090246246E-1,5.328156971E-1,2.662812134E-1,2.885859000E-3,1.600000024E0,8.000000000E2
3.131856666E-1,5.261664766E-1,2.589440730E-1,2.884915000E-3,1.600000024E0,8.000000000E2
3.173463746E-1,5.210027631E-1,2.534155466E-1,2.884157000E-3,1.600000024E0,8.000000000E2
3.215072076E-1,5.281803468E-1,2.613790847E-1,2.883141000E-3,1.600000024E0,8.000000000E2
3.256680826E-1,5.154006776E-1,2.475467833E-1,2.882585000E-3,1.600000024E0,8.000000000E2
3.298289166E-1,5.293928410E-1,2.630265268E-1,2.881525000E-3,1.600000024E0,8.000000000E2
3.339897076E-1,5.234616618E-1,2.565865339E-1,2.880679000E-3,1.600000024E0,8.000000000E2
3.381505827E-1,5.240026038E-1,2.573093082E-1,2.879814000E-3,1.600000024E0,8.000000000E2
3.423114576E-1,5.241916531E-1,2.574649929E-1,2.878943000E-3,1.600000024E0,8.000000000E2
3.464723746E-1,5.168769602E-1,2.493952398E-1,2.878335000E-3,1.600000024E0,8.000000000E2
3.506331246E-1,5.281028822E-1,2.619267809E-1,2.877323000E-3,1.600000024E0,8.000000000E2
3.547939166E-1,5.236818961E-1,2.571921288E-1,2.876471000E-3,1.600000024E0,8.000000000E2
3.589547497E-1,5.277519329E-1,2.618125210E-1,2.875473000E-3,1.600000024E0,8.000000000E2
3.631156246E-1,5.213179152E-1,2.547662880E-1,2.874706000E-3,1.600000024E0,8.000000000E2
3.672764996E-1,5.155907227E-1,2.485188431E-1,2.874145000E-3,1.600000024E0,8.000000000E2
3.714372496E-1,5.233028017E-1,2.572230236E-1,2.873307000E-3,1.600000024E0,8.000000000E2
3.755981246E-1,5.123123134E-1,2.452500226E-1,2.872864000E-3,1.600000024E0,8.000000000E2
3.797592076E-1,5.266555309E-1,2.609495500E-1,2.871906000E-3,1.600000024E0,8.000000000E2
3.839197916E-1,5.215725840E-1,2.553414385E-1,2.871131000E-3,1.600000024E0,8.000000000E2
3.880807076E-1,5.208419638E-1,2.547166802E-1,2.870382000E-3,1.600000024E0,8.000000000E2
3.922416246E-1,5.183525091E-1,2.521107801E-1,2.869723000E-3,1.600000024E0,8.000000000E2
3.964024576E-1,5.096199727E-1,2.426742899E-1,2.869377000E-3,1.600000024E0,8.000000000E2
4.005632497E-1,5.220267845E-1,2.563177224E-1,2.868586000E-3,1.600000024E0,8.000000000E2
4.047240826E-1,5.176253480E-1,2.512891222E-1,2.867954000E-3,1.600000024E0,8.000000000E2
4.088849576E-1,5.251554533E-1,2.597682681E-1,2.867052000E-3,1.600000024E0,8.000000000E2
4.130459166E-1,5.183865243E-1,2.524487612E-1,2.866393000E-3,1.600000024E0,8.000000000E2
4.172065826E-1,5.123499975E-1,2.458418238E-1,2.865950000E-3,1.600000024E0,8.000000000E2
4.213674167E-1,5.205007631E-1,2.547640892E-1,2.865215000E-3,1.600000024E0,8.000000000E2
4.255282496E-1,5.064518902E-1,2.396970017E-1,2.864983000E-3,1.600000024E0,8.000000000E2
4.296890826E-1,5.208151290E-1,2.553704574E-1,2.864237000E-3,1.600000024E0,8.000000000E2
4.338499577E-1,5.140943664E-1,2.481513759E-1,2.863732000E-3,1.600000024E0,8.000000000E2
4.380107496E-1,5.131292558E-1,2.472577655E-1,2.863262000E-3,1.600000024E0,8.000000000E2
4.421716667E-1,5.140017547E-1,2.483337679E-1,2.862760000E-3,1.600000024E0,8.000000000E2
4.463327496E-1,5.059361058E-1,2.392885585E-1,2.862547000E-3,1.600000024E0,8.000000000E2
4.504933326E-1,5.186490549E-1,2.532320938E-1,2.861879000E-3,1.600000024E0,8.000000000E2
4.546542076E-1,5.140144908E-1,2.483184786E-1,2.861377000E-3,1.600000024E0,8.000000000E2
4.588150826E-1,5.197649541E-1,2.547412232E-1,2.860670000E-3,1.600000024E0,8.000000000E2
4.629759576E-1,5.122553942E-1,2.465822236E-1,2.860231000E-3,1.600000024E0,8.000000000E2
4.671367496E-1,5.063393621E-1,2.401640150E-1,2.860004000E-3,1.600000024E0,8.000000000E2
4.712976246E-1,5.147728369E-1,2.493306185E-1,2.859475000E-3,1.600000024E0,8.000000000E2
4.754584167E-1,5.054424393E-1,2.391220887E-1,2.859280000E-3,1.600000024E0,8.000000000E2
4.796194576E-1,5.192135298E-1,2.542333485E-1,2.858593000E-3,1.600000024E0,8.000000000E2
4.837801666E-1,5.124612153E-1,2.468887731E-1,2.858147000E-3,1.600000024E0,8.000000000E2
4.879409997E-1,5.111777556E-1,2.457038976E-1,2.857747000E-3,1.600000024E0,8.000000000E2
4.921017916E-1,5.109599322E-1,2.454128386E-1,2.857355000E-3,1.600000024E0,8.000000000E2
4.962626246E-1,5.034756348E-1,2.371823434E-1,2.857230000E-3,1.600000024E0,8.000000000E2
5.004234576E-1,5.157690276E-1,2.506351720E-1,2.856666000E-3,1.600000024E0,8.000000000E2
5.045842916E-1,5.106327779E-1,2.451671960E-1,2.856286000E-3,1.600000024E0,8.000000000E2
5.087451247E-1,5.184436007E-1,2.536982423E-1,2.855627000E-3,1.600000024E0,8.000000000E2
5.129062496E-1,5.106221907E-1,2.452533092E-1,2.855247000E-3,1.600000024E0,8.000000000E2
5.170668326E-1,5.054908678E-1,2.396056558E-1,2.855051000E-3,1.600000024E0,8.000000000E2
5.212276666E-1,5.136927873E-1,2.485986093E-1,2.854562000E-3,1.600000024E0,8.000000000E2
5.253884996E-1,5.047003409E-1,2.387642914E-1,2.854394000E-3,1.600000024E0,8.000000000E2
5.295494166E-1,5.175802739E-1,2.529673201E-1,2.853766000E-3,1.600000024E0,8.000000000E2
5.337103326E-1,5.101282621E-1,2.447409248E-1,2.853404000E-3,1.600000024E0,8.000000000E2
5.378711666E-1,5.085600492E-1,2.433496577E-1,2.853098000E-3,1.600000024E0,8.000000000E2
5.420319996E-1,5.106345599E-1,2.454732265E-1,2.852718000E-3,1.600000024E0,8.000000000E2
5.461929166E-1,5.030656175E-1,2.372061042E-1,2.852608000E-3,1.600000024E0,8.000000000E2
5.503537076E-1,5.155302395E-1,2.507039858E-1,2.852054000E-3,1.600000024E0,8.000000000E2
5.545144996E-1,5.101219727E-1,2.449725017E-1,2.851693000E-3,1.600000024E0,8.000000000E2
5.586752916E-1,5.157169827E-1,2.512479925E-1,2.851132000E-3,1.600000024E0,8.000000000E2
5.628361666E-1,5.088038164E-1,2.438551926E-1,2.850818000E-3,1.600000024E0,8.000000000E2
5.669969576E-1,5.036355956E-1,2.380630328E-1,2.850688000E-3,1.600000024E0,8.000000000E2
5.711578326E-1,5.116138216E-1,2.466850230E-1,2.850274000E-3,1.600000024E0,8.000000000E2
5.753186666E-1,5.023734151E-1,2.367830700E-1,2.850189000E-3,1.600000024E0,8.000000000E2
5.794797076E-1,5.140454138E-1,2.495573035E-1,2.849688000E-3,1.600000024E0,8.000000000E2
5.836403747E-1,5.073539493E-1,2.422701974E-1,2.849426000E-3,1.600000024E0,8.000000000E2
5.878011666E-1,5.055191701E-1,2.404575009E-1,2.849229000E-3,1.600000024E0,8.000000000E2
5.919619996E-1,5.073265380E-1,2.422390274E-1,2.848968000E-3,1.600000024E0,8.000000000E2
5.961228326E-1,5.006188783E-1,2.349731932E-1,2.848945000E-3,1.600000024E0,8.000000000E2
6.002837916E-1,5.118418653E-1,2.471989521E-1,2.848523000E-3,1.600000024E0,8.000000000E2
6.044446666E-1,5.073739182E-1,2.422175434E-1,2.848260000E-3,1.600000024E0,8.000000000E2
6.086054576E-1,5.146662837E-1,2.502551394E-1,2.847737000E-3,1.600000024E0,8.000000000E2
6.127664166E-1,5.072237061E-1,2.423199271E-1,2.847479000E-3,1.600000024E0,8.000000000E2
6.169271666E-1,5.023202695E-1,2.369803679E-1,2.847396000E-3,1.600000024E0,8.000000000E2
6.210879576E-1,5.099703978E-1,2.452825028E-1,2.847041000E-3,1.600000024E0,8.000000000E2
6.252488326E-1,5.026215324E-1,2.374036472E-1,2.846947000E-3,1.600000024E0,8.000000000E2
6.294096666E-1,5.132364903E-1,2.491043567E-1,2.846475000E-3,1.600000024E0,8.000000000E2
6.335704996E-1,5.061536671E-1,2.414683642E-1,2.846256000E-3,1.600000024E0,8.000000000E2
6.377312916E-1,5.039189337E-1,2.389328452E-1,2.846116000E-3,1.600000024E0,8.000000000E2
6.418922076E-1,5.065712842E-1,2.417291128E-1,2.845882000E-3,1.600000024E0,8.000000000E2
6.460532496E-1,4.994187534E-1,2.339522305E-1,2.845902000E-3,1.600000024E0,8.000000000E2
6.502138326E-1,5.104202481E-1,2.458749384E-1,2.845531000E-3,1.600000024E0,8.000000000E2
6.543747076E-1,5.057264063E-1,2.408929315E-1,2.845327000E-3,1.600000024E0,8.000000000E2
6.585354996E-1,5.120233673E-1,2.478658094E-1,2.844899000E-3,1.600000024E0,8.000000000E2
6.626963746E-1,5.050667516E-1,2.402585568E-1,2.844718000E-3,1.600000024E0,8.000000000E2
6.668571667E-1,4.998665596E-1,2.345887680E-1,2.844722000E-3,1.600000024E0,8.000000000E2
6.710181666E-1,5.076188909E-1,2.431574739E-1,2.844451000E-3,1.600000024E0,8.000000000E2
6.751789996E-1,5.018927990E-1,2.368640691E-1,2.844383000E-3,1.600000024E0,8.000000000E2
6.793399576E-1,5.120711668E-1,2.478359427E-1,2.843953000E-3,1.600000024E0,8.000000000E2
6.835006666E-1,5.049138665E-1,2.403024870E-1,2.843778000E-3,1.600000024E0,8.000000000E2
6.876615417E-1,5.030895172E-1,2.383675217E-1,2.843668000E-3,1.600000024E0,8.000000000E2
6.918223327E-1,5.054561712E-1,2.408323016E-1,2.843474000E-3,1.600000024E0,8.000000000E2
6.959832076E-1,4.980147466E-1,2.327822462E-1,2.843544000E-3,1.600000024E0,8.000000000E2
7.001440416E-1,5.094788277E-1,2.451465625E-1,2.843207000E-3,1.600000024E0,8.000000000E2
7.043049166E-1,5.046607700E-1,2.400122841E-1,2.843041000E-3,1.600000024E0,8.000000000E2
7.084657076E-1,5.110931630E-1,2.471279523E-1,2.842646000E-3,1.600000024E0,8.000000000E2
7.126267916E-1,5.046524889E-1,2.400674266E-1,2.842480000E-3,1.600000024E0,8.000000000E2
7.167873746E-1,5.002962314E-1,2.353664346E-1,2.842469000E-3,1.600000024E0,8.000000000E2
7.209482497E-1,5.075105033E-1,2.431694396E-1,2.842202000E-3,1.600000024E0,8.000000000E2
7.251090826E-1,5.027563355E-1,2.378843995E-1,2.842104000E-3,1.600000024E0,8.000000000E2
7.292699166E-1,5.119942263E-1,2.480223291E-1,2.841677000E-3,1.600000024E0,8.000000000E2
7.334307496E-1,5.054023443E-1,2.407752972E-1,2.841485000E-3,1.600000024E0,8.000000000E2
7.375915416E-1,5.033297728E-1,2.387627310E-1,2.841366000E-3,1.600000024E0,8.000000000E2
