"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.229463327E-1,4.811256793E-1,1.202870499E-1,2.540896000E-3,1.600000024E0,1.600000000E3
2.271074576E-1,5.188762076E-1,1.417592987E-1,2.540296000E-3,1.600000024E0,1.600000000E3
2.312680417E-1,4.492854178E-1,1.036553315E-1,2.541906000E-3,1.600000024E0,1.600000000E3
2.354288326E-1,5.308612094E-1,1.489204908E-1,2.540925000E-3,1.600000024E0,1.600000000E3
2.395897077E-1,4.609532235E-1,1.094754896E-1,2.542165000E-3,1.600000024E0,1.600000000E3
2.437505416E-1,5.049930607E-1,1.335191799E-1,2.542006000E-3,1.600000024E0,1.600000000E3
2.479114167E-1,5.045181051E-1,1.331852128E-1,2.541862000E-3,1.600000024E0,1.600000000E3
2.520724167E-1,4.638694150E-1,1.110242003E-1,2.543009000E-3,1.600000024E0,1.600000000E3
2.562332496E-1,5.338700649E-1,1.507163886E-1,2.541932000E-3,1.600000024E0,1.600000000E3
2.603942077E-1,4.515147005E-1,1.046654704E-1,2.543472000E-3,1.600000024E0,1.600000000E3
2.645549166E-1,5.227224461E-1,1.438707379E-1,2.542749000E-3,1.600000024E0,1.600000000E3
2.687157076E-1,4.827891243E-1,1.209440348E-1,2.543296000E-3,1.600000024E0,1.600000000E3
2.728766247E-1,4.793357121E-1,1.191798888E-1,2.543952000E-3,1.600000024E0,1.600000000E3
2.770374166E-1,5.242690653E-1,1.448257018E-1,2.543180000E-3,1.600000024E0,1.600000000E3
2.811982497E-1,4.498060764E-1,1.036905978E-1,2.544775000E-3,1.600000024E0,1.600000000E3
2.853591247E-1,5.311829129E-1,1.490079569E-1,2.543783000E-3,1.600000024E0,1.600000000E3
2.895199576E-1,4.629210238E-1,1.103740548E-1,2.544962000E-3,1.600000024E0,1.600000000E3
2.936810827E-1,4.993729979E-1,1.301714062E-1,2.544981000E-3,1.600000024E0,1.600000000E3
2.978416246E-1,5.068800944E-1,1.343968324E-1,2.544762000E-3,1.600000024E0,1.600000000E3
3.020024997E-1,4.598912560E-1,1.088565223E-1,2.546037000E-3,1.600000024E0,1.600000000E3
3.061633747E-1,5.317919378E-1,1.492910997E-1,2.545025000E-3,1.600000024E0,1.600000000E3
3.103242076E-1,4.503039883E-1,1.039326905E-1,2.546605000E-3,1.600000024E0,1.600000000E3
3.144850417E-1,5.164985996E-1,1.400295933E-1,2.546079000E-3,1.600000024E0,1.600000000E3
3.186458746E-1,4.837189093E-1,1.213699044E-1,2.546597000E-3,1.600000024E0,1.600000000E3
3.228068326E-1,4.751717010E-1,1.167267346E-1,2.547387000E-3,1.600000024E0,1.600000000E3
3.269677917E-1,5.259734440E-1,1.456207609E-1,2.546559000E-3,1.600000024E0,1.600000000E3
3.311285416E-1,4.486622941E-1,1.031615180E-1,2.548193000E-3,1.600000024E0,1.600000000E3
3.352894167E-1,5.289807796E-1,1.474315202E-1,2.547269000E-3,1.600000024E0,1.600000000E3
3.394502497E-1,4.700633344E-1,1.140042740E-1,2.548222000E-3,1.600000024E0,1.600000000E3
